omega &   Ids                  &     peri              &   apo                     &   eccentricity           &    Zmax                    &   Lzmax             & Lzmin \\ 
  35  &   2M17535944$+$4708092 &  2.03$^{3.08}_{1.38}$ &  16.97$^{19.31}_{15.39}$  &  0.78$^{ 0.83}_{ 0.72}$  &   9.55$^{  9.99}_{  9.17}$ & $  -85.0 ^{   -50.0  }_{  -125.0 }$ & $  -102.0 ^{  -74.0  }_{  -134.0  }$ \\ 
  40  &   2M17535944$+$4708092 &  2.20$^{2.98}_{1.41}$ &  17.31$^{19.67}_{15.67}$  &  0.77$^{ 0.83}_{ 0.73}$  &   9.64$^{  9.97}_{  9.32}$ & $  -93.0 ^{   -57.0  }_{  -121.0 }$ & $  -107.0 ^{  -80.0  }_{  -134.0  }$ \\ 
  45  &   2M17535944$+$4708092 &  2.21$^{3.03}_{1.60}$ &  17.62$^{20.46}_{15.71}$  &  0.77$^{ 0.81}_{ 0.74}$  &   9.77$^{ 10.07}_{  9.47}$ & $  -92.0 ^{   -64.84 }_{  -124.0 }$ & $  -101.0 ^{  -78.0  }_{  -142.0  }$ \\ 
  50  &   2M17535944$+$4708092 &  2.17$^{3.14}_{1.63}$ &  18.53$^{19.39}_{15.51}$  &  0.78$^{ 0.80}_{ 0.72}$  &   9.96$^{ 10.30}_{  9.59}$ & $  -91.0 ^{   -65.0  }_{  -128.0 }$ & $  -110.0 ^{  -75.0  }_{  -136.0  }$ \\ 
  35  &   2M16062302$-$1126161 &  0.45$^{0.57}_{0.34}$ &   5.49$^{ 5.84}_{ 5.21}$  &  0.84$^{ 0.88}_{ 0.80}$  &   3.90$^{  4.09}_{  3.77}$ & $  -10.0 ^{   -6.0   }_{  -12.0  }$ & $  -37.0  ^{  -26.0  }_{  -52.0   }$ \\ 
  40  &   2M16062302$-$1126161 &  0.34$^{1.04}_{0.07}$ &   5.52$^{ 6.24}_{ 5.26}$  &  0.88$^{ 0.97}_{ 0.71}$  &   3.85$^{  4.24}_{  3.27}$ & $   -6.0 ^{    2.0   }_{   -30.0 }$ & $   -39.0 ^{   -27.84}_{   -60.0  }$ \\  
  45  &   2M16062302$-$1126161 &  0.39$^{0.85}_{0.19}$ &   5.53$^{ 5.93}_{ 5.31}$  &  0.86$^{ 0.93}_{ 0.74}$  &   3.47$^{  3.79}_{  3.14}$ & $  -11.0 ^{   -3.0   }_{  -27.0  }$ & $  -37.0  ^{  -30.0  }_{  -52.16  }$ \\ 
  50  &   2M16062302$-$1126161 &  0.51$^{0.85}_{0.25}$ &   5.50$^{ 7.19}_{ 5.22}$  &  0.83$^{ 0.90}_{ 0.78}$  &   3.40$^{  3.86}_{  3.10}$ & $  -15.0 ^{   -6.0   }_{  -26.0  }$ & $  -37.0  ^{  -26.0  }_{  -77.0   }$ \\ 
  35  &   2M17454705$-$2639109 &  0.78$^{1.67}_{0.37}$ &   3.62$^{ 4.70}_{ 2.75}$  &  0.64$^{ 0.75}_{ 0.48}$  &   0.49$^{  0.60}_{  0.38}$ & $  -23.0 ^{   -10.0  }_{  -51.0  }$ & $  -61.0  ^{  -48.0  }_{  -77.16  }$ \\ 
  40  &   2M17454705$-$2639109 &  0.77$^{1.27}_{0.43}$ &   3.64$^{ 4.64}_{ 2.75}$  &  0.64$^{ 0.73}_{ 0.55}$  &   0.50$^{  0.61}_{  0.38}$ & $  -23.0 ^{   -12.0  }_{  -39.0  }$ & $  -59.0  ^{  -48.0  }_{  -89.0   }$ \\ 
  45  &   2M17454705$-$2639109 &  0.72$^{1.44}_{0.32}$ &   3.79$^{ 4.70}_{ 2.73}$  &  0.67$^{ 0.75}_{ 0.53}$  &   0.53$^{  0.66}_{  0.39}$ & $  -21.0 ^{   -8.0   }_{  -43.0  }$ & $  -65.5  ^{  -45.0  }_{  -86.0   }$ \\ 
  50  &   2M17454705$-$2639109 &  0.61$^{1.55}_{0.40}$ &   3.71$^{ 4.73}_{ 2.83}$  &  0.69$^{ 0.74}_{ 0.51}$  &   0.56$^{  0.75}_{  0.39}$ & $  -17.0 ^{   -10.0  }_{  -45.0  }$ & $  -71.0  ^{  -48.0  }_{  -84.0   }$ \\ 
  35  &   2M17492967$-$2328298 &  0.17$^{0.35}_{0.03}$ &   1.97$^{ 3.24}_{ 1.39}$  &  0.83$^{ 0.96}_{ 0.77}$  &   1.19$^{  1.53}_{  0.95}$ & $   -3.0 ^{    3.0   }_{   -9.0  }$ & $   -26.0 ^{   -16.0 }_{   -44.16 }$ \\  
  40  &   2M17492967$-$2328298 &  0.09$^{0.31}_{0.01}$ &   2.14$^{ 3.17}_{ 1.29}$  &  0.90$^{ 0.98}_{ 0.78}$  &   1.23$^{  1.62}_{  0.96}$ & $   -1.0 ^{    5.0   }_{   -8.0  }$ & $   -25.0 ^{   -13.0 }_{   -40.0  }$ \\  
