#  APOGEE$-$ID         &   \texttt{Payne} [Fe/H] & $J_{2MASS}-K_{s,2MASS}$  & $\langle A_{K}^{WISE} \rangle$ &  \textit{E(B-V)} & T$^{pho}_{\rm eff}$ & log$^{\rm iso}$ \textit{g} & \texttt{Payne} T$_{\rm eff}$  & \texttt{Payne} log \textit{g} & \textit{RV$_{SCATTER}$} & N$_{\rm visits}$ & [Fe/H]sp   &    [C/Fe]sp   &   [N/Fe]sp  &   [O/Fe]sp  &   [Mg/Fe]sp  &  [Al/Fe]sp   &   [Si/Fe]sp  & [Ce/Fe]sp     &   [Nd/Fe]sp  &   [Na/Fe]sp  &   [Fe/H]pho  &   [C/Fe]pho   &  [N/Fe]pho   &  [O/Fe]pho   &   [Mg/Fe]pho  &   [Al/Fe]pho  &   [Si/Fe]pho  &   [Ce/Fe]pho  &   [Nd/Fe]pho  &  [Na/Fe]pho  &    Classification          \\
  2M13503160$+$4411389 &    -1.082               &    0.499                 &    0.061                       &    0.012         &    5250.21          &    3.114                   &    5142.27                    &    3.201                      &    0.17                 &    3             &   $-$0.99  &    $-$0.33    &    1.34     &    ...      &    0.01      &    0.90      &    0.23      &    ...        &    ...       &    ...       &    $-$0.98   &    $-$0.23    &    1.56      &    $<$1.06   &    0.05       &    0.92       &    0.26       &    ...        &    ...        &    ...       &    \textit{SG-like}        \\
  2M14082554$+$4711096 &    -1.118               &    0.533                 &    0.053                       &    0.015         &    5128.05          &    2.719                   &    5103.23                    &    2.716                      &    0.0                  &    1             &   $-$1.08  &    $<$$-$0.26 &    1.01     &    0.51     &    0.18      &    $-$0.01   &    0.32      &    $<$$-$0.02 &    $<$1.03   &    ...       &    $-$1.02   &    $-$0.01    &    0.79      &    0.53      &    0.16       &    0.01       &    0.26       &    ...        &    $<$1.01    &    ...       &    \textit{FG-like/dGs}    \\
  2M14582162$+$4117544 &    -1.012               &    0.876                 &    0.091                       &    0.013         &    4128.17          &    0.857                   &    4204.34                    &    1.434                      &    0.0                  &    1             &   $-$0.96  &    $-$0.42    &    0.62     &    0.24     &    0.08      &    0.16      &    0.17      &    0.24       &    $<$0.28   &    ...       &    $-$1.08   &    $-$0.51    &    1.08      &    0.28      &    0.08       &    0.11       &    0.19       &    0.14       &    $<$0.33    &    ...       &    \textit{FG-like/dGs}    \\
  2M15082716$+$6710075 &    -1.302               &    0.812                 &    0.038                       &    0.033         &    4309.77          &    0.947                   &    4186.79                    &    1.355                      &    0.8                  &    26            &   $-$1.49  &    0.02       &    1.36     &    0.58     &    $-$0.33   &    ...       &    0.16      &    0.48       &    ...       &    ...       &    $-$1.39   &    $-$0.16    &    1.58      &    0.82      &    0.04       &    ...        &    0.10       &    $<$0.26    &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M15183589$+$0027100 &    -1.217               &    0.769                 &    0.095                       &    0.058         &    4468.69          &    1.317                   &    4444.12                    &    1.643                      &    0.35                 &    13            &   $-$1.18  &    $-$0.33    &    0.95     &    0.25     &    0.11      &    0.16      &    0.16      &    0.17       &    ...       &    ...       &    $-$1.15   &    $-$0.57    &    1.16      &    0.29      &    0.21       &    0.20       &    0.25       &    0.07       &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M15193208$+$0025293 &    -0.76                &    0.718                 &    0.089                       &    0.061         &    4625.32          &    1.916                   &    4551.84                    &    2.092                      &    0.09                 &    7             &   $-$0.80  &    0.02       &    0.88     &    0.38     &    0.26      &    0.24      &    0.59      &    0.25       &    ...       &    $<$0.30   &    $-$0.81   &    $-$0.01    &    0.98      &    0.49      &    0.33       &    0.27       &    0.29       &    0.05       &    ...        &    $<$0.33   &    \textit{FG-like/dGs}    \\
  2M15195065$+$0221533 &    -0.777               &    0.679                 &    0.07                        &    0.041         &    4701.46          &    2.058                   &    4583.81                    &    1.918                      &    0.0                  &    1             &   $-$0.83  &    $-$0.03    &    0.59     &    0.50     &    0.18      &    0.18      &    0.67      &    0.16       &    ...       &    ...       &    $-$0.77   &    $-$0.00    &    0.65      &    0.62      &    0.18       &    0.20       &    0.36       &    0.16       &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M15535831$+$4333280 &    -1.256               &    0.675                 &    0.108                       &    0.013         &    4656.55          &    1.576                   &    4835.53                    &    2.118                      &    0.34                 &    4             &   $-$1.19  &    ...        &    0.99     &    0.25     &    $-$0.43   &    1.07      &    0.54      &    0.38       &    $<$0.84   &    ...       &    $-$1.29   &    ...        &    0.74      &    0.13      &    $-$0.42    &    1.07       &    0.51       &    0.32       &    ...        &    ...       &    \textit{SG-like}        \\
  2M16362792$+$3901180 &    -0.842               &    0.668                 &    0.055                       &    0.018         &    4694.92          &    2.046                   &    4628.36                    &    2.247                      &    0.04                 &    2             &   $-$0.75  &    $-$0.22    &    0.89     &    0.27     &    $-$0.02   &    0.07      &    0.27      &    0.25       &    ...       &    ...       &    $-$0.73   &    $-$0.31    &    1.06      &    0.43      &    0.09       &    0.07       &    0.18       &    0.14       &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M16464310$+$4731033 &    -1.013               &    0.842                 &    0.093                       &    0.021         &    4221.58          &    1.023                   &    4497.21                    &    1.729                      &    0.37                 &    12            &   $-$0.99  &    $-$0.51    &    1.43     &    0.25     &    0.11      &    0.84      &    0.33      &    1.13       &    $<$0.96   &    ...       &    $-$1.22   &    $-$0.66    &    1.54      &    0.07      &    ...        &    0.49       &    0.36       &    $<$0.64    &    ...        &    ...       &    \textit{SG-like}        \\
